img_name,predicted_label,confidence
1066.jpeg,head_lamp,tensor(0.9877)
1228.jpeg,tail_lamp,tensor(0.9870)
398.jpeg,tail_lamp,tensor(0.9731)
632.jpeg,bumper_dent,tensor(0.9561)
160.jpeg,glass_shatter,tensor(0.9439)
1156.jpeg,head_lamp,tensor(0.9429)
451.jpeg,tail_lamp,tensor(0.9376)
1041.jpeg,head_lamp,tensor(0.9358)
154.jpeg,glass_shatter,tensor(0.9336)
1510.jpeg,head_lamp,tensor(0.9213)
391.jpeg,head_lamp,tensor(0.9127)
1098.jpeg,head_lamp,tensor(0.8991)
273.jpeg,glass_shatter,tensor(0.8970)
1190.jpeg,glass_shatter,tensor(0.8893)
1071.jpeg,glass_shatter,tensor(0.8821)
1062.jpeg,door_dent,tensor(0.8761)
583.jpeg,head_lamp,tensor(0.8749)
1036.jpeg,door_dent,tensor(0.8704)
565.jpeg,glass_shatter,tensor(0.8694)
48.jpeg,glass_shatter,tensor(0.8605)
251.jpeg,head_lamp,tensor(0.8590)
859.jpeg,door_dent,tensor(0.8551)
845.jpeg,door_dent,tensor(0.8510)
59.jpeg,head_lamp,tensor(0.8459)
619.jpeg,head_lamp,tensor(0.8313)
1176.jpeg,head_lamp,tensor(0.8255)
731.jpeg,glass_shatter,tensor(0.8210)
114.jpeg,tail_lamp,tensor(0.8181)
96.jpeg,glass_shatter,tensor(0.8167)
567.jpeg,glass_shatter,tensor(0.8147)
522.jpeg,door_dent,tensor(0.8131)
563.jpeg,head_lamp,tensor(0.8095)
1063.jpeg,glass_shatter,tensor(0.8088)
231.jpeg,head_lamp,tensor(0.8055)
162.jpeg,head_lamp,tensor(0.7955)
1050.jpeg,glass_shatter,tensor(0.7911)
371.jpeg,tail_lamp,tensor(0.7905)
1494.jpeg,glass_shatter,tensor(0.7831)
553.jpeg,head_lamp,tensor(0.7825)
872.jpeg,door_dent,tensor(0.7792)
278.jpeg,head_lamp,tensor(0.7776)
542.jpeg,head_lamp,tensor(0.7670)
370.jpeg,glass_shatter,tensor(0.7595)
896.jpeg,head_lamp,tensor(0.7564)
395.jpeg,head_lamp,tensor(0.7475)
582.jpeg,bumper_dent,tensor(0.7356)
1456.jpeg,door_dent,tensor(0.7307)
28.jpeg,glass_shatter,tensor(0.7265)
1423.jpeg,glass_shatter,tensor(0.7237)
1150.jpeg,head_lamp,tensor(0.7209)
1074.jpeg,head_lamp,tensor(0.7199)
671.jpeg,head_lamp,tensor(0.7184)
483.jpeg,door_dent,tensor(0.7166)
1204.jpeg,head_lamp,tensor(0.7143)
1312.jpeg,tail_lamp,tensor(0.7136)
633.jpeg,glass_shatter,tensor(0.7112)
515.jpeg,head_lamp,tensor(0.7111)
1247.jpeg,glass_shatter,tensor(0.7106)
1175.jpeg,door_dent,tensor(0.7091)
541.jpeg,head_lamp,tensor(0.7071)
944.jpeg,door_dent,tensor(0.7036)
157.jpeg,door_dent,tensor(0.6988)
670.jpeg,tail_lamp,tensor(0.6941)
1435.jpeg,glass_shatter,tensor(0.6849)
1105.jpeg,glass_shatter,tensor(0.6839)
1383.jpeg,head_lamp,tensor(0.6821)
889.jpeg,door_dent,tensor(0.6636)
176.jpeg,tail_lamp,tensor(0.6635)
167.jpeg,glass_shatter,tensor(0.6629)
674.jpeg,door_scratch,tensor(0.6626)
780.jpeg,door_dent,tensor(0.6615)
1374.jpeg,door_dent,tensor(0.6615)
1014.jpeg,door_dent,tensor(0.6590)
491.jpeg,glass_shatter,tensor(0.6570)
403.jpeg,tail_lamp,tensor(0.6566)
71.jpeg,bumper_dent,tensor(0.6495)
942.jpeg,door_dent,tensor(0.6479)
1161.jpeg,door_scratch,tensor(0.6476)
744.jpeg,glass_shatter,tensor(0.6472)
952.jpeg,door_dent,tensor(0.6470)
1285.jpeg,door_dent,tensor(0.6433)
994.jpeg,head_lamp,tensor(0.6430)
759.jpeg,door_scratch,tensor(0.6426)
404.jpeg,door_dent,tensor(0.6421)
1126.jpeg,head_lamp,tensor(0.6402)
705.jpeg,glass_shatter,tensor(0.6366)
73.jpeg,door_dent,tensor(0.6350)
726.jpeg,head_lamp,tensor(0.6335)
753.jpeg,tail_lamp,tensor(0.6326)
1255.jpeg,door_scratch,tensor(0.6319)
1029.jpeg,tail_lamp,tensor(0.6317)
706.jpeg,door_scratch,tensor(0.6308)
1027.jpeg,glass_shatter,tensor(0.6301)
365.jpeg,glass_shatter,tensor(0.6287)
62.jpeg,glass_shatter,tensor(0.6286)
